beer_brewery,beer_name,beer_type,beer_abv,beer_description,img_url,untappd_link,pack_format,beer_category,master_category
Edmund's Oast,Sensuous Force,IPA - Triple,10.00%,Triple IPA brewed with Cashmere and Mosaic hops.,https://untappd.akamaized.net/site/beer_logos/beer-3646471_49a3a_sm.jpeg,https://untappd.com/b/edmund-s-oast-brewing-company-sensuous-force/3646471,4x16oz cans,IPA,local
Edmund's Oast,Sour Guava Tangerine,Sour - Fruited,6.50%,Our base sour golden ale with guava and tangerine.,https://untappd.akamaized.net/site/beer_logos/beer-3842729_94aea_sm.jpeg,https://untappd.com/b/edmund-s-oast-brewing-company-sour-guava-tangerine/3842729,4x16oz cans,Sour,local
Edmund's Oast,Crushing Spirits,Sour - Berliner Weisse,4.50%,Berliner Weisse Style Ale with Gewurtztraminer grapes.,https://untappd.akamaized.net/site/beer_logos/beer-4379085_bc90f_sm.jpeg,https://untappd.com/b/edmund-s-oast-brewing-company-crushing-spirits/4379085,4x16oz cans,Sour,local
Edmund's Oast,Hefeweizen,Hefeweizen,4.20%,"Inflections of hearth-risen country bread interwoven with notes of nutmeg, clove, banana skin, and Asian pear create quite the beguiling beverage. Our New World love of the Old World classics allowed us to marry North Carolina wheat malt with time-honored German brewing techniques and ingredients. Simply delicious.",https://untappd.akamaized.net/site/beer_logos/beer-2778321_f4633_sm.jpeg,https://untappd.com/b/edmund-s-oast-brewing-company-hefeweizen/2778321,4x16oz cans,Wheat,local
Edmund's Oast,88 Miles Per Hour,IPA - Imperial / Double,8.80%,Collab with Half Barrel Beer Project,https://untappd.akamaized.net/site/beer_logos/beer-4420019_47534_sm.jpeg,https://untappd.com/b/edmund-s-oast-brewing-company-88-miles-per-hour/4420019,4x16oz cans,IPA,local
Edmund's Oast,Something Extra Cold,Blonde Ale,8.00%,,https://untappd.akamaized.net/site/beer_logos/beer-2409686_c6a14_sm.jpeg,https://untappd.com/b/edmund-s-oast-brewing-company-something-extra-cold/2409686,4x16oz cans,Blonde,local
Edmund's Oast,Cordial Offering: Maple Pecan,Stout - Imperial / Double,10.00%,"Imperial stout brewed with maple syrup, with pecans and natural flavors added.",https://untappd.akamaized.net/site/beer_logos/beer-4337906_8eb02_sm.jpeg,https://untappd.com/b/edmund-s-oast-brewing-company-cordial-offering-maple-pecan/4337906,4x16oz cans,Stout,local
Edmund's Oast,Bound by Time,IPA - American,7.00%,"Made with good old-fashioned hop-bursting techniques and irresponsible dry-hopping technology, Bound by Time is an offering to those looking for something brimming with hop character and as unadulterated as a butterfly’s wing.",https://untappd.akamaized.net/site/beer_logos/beer-1855203_d4a26_sm.jpeg,https://untappd.com/b/edmund-s-oast-brewing-company-bound-by-time/1855203,4x16oz cans,IPA,local
Edmund's Oast,Strawberry Shortcake,Blonde Ale,5.00%,Blonde Ale w/ Strawberry & Vanilla.,https://untappd.akamaized.net/site/beer_logos/beer-4367604_8f1bc_sm.jpeg,https://untappd.com/b/edmund-s-oast-brewing-company-strawberry-shortcake/4367604,4x16oz cans,Blonde,local
Edmund's Oast,Peanut Butter & Jelly,Fruit Beer,5.00%,"Brewed with peanut butter, grape juice, and milk sugar for that sandwich in a glass experience. 5-5.5%",https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,https://untappd.com/b/edmund-s-oast-peanut-butter-jelly/607241,4x16oz cans,Blonde,local
